	引擎	金融	车服	2轮车	安全	企业	业务平台	国际化	业务中台	顺风车	地图	代驾	汇总
总服务数量（个）	84	35	92	28	23	9	81	56	39	51	71	28	597
具备服务发现能力的服务数量（个）	79	30	79	28	15	7	79	56	39	48	52	28	540
具备服务发现服务占比（%）	94.0	85.7	85.9	100.0	65.2	77.8	97.5	100.0	100.0	94.1	73.2	100.0	90.5
	金融	车服	2轮车	安全	引擎	业务平台	国际化	业务中台	顺风车	企业	地图	代驾	汇总
总活跃服务数量（个）	314	522	97	253	177	280	240	209	133	63	298	123	2709
具备服务发现能力的活跃服务数量（个）	272	401	97	147	151	260	221	172	113	54	201	123	2212
具备服务发现活跃服务占比（%）	86.6	76.8	100.0	58.1	85.3	92.9	92.1	82.3	85.0	85.7	67.4	100.0	81.7
